Object URL,Social Tags,C,CS,CSH,GV,AR,BM,MCS
https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Laura_Muntz_Lyall_-_Interesting_Story_-_Google_Art_Project.jpg/747px-Laura_Muntz_Lyall_-_Interesting_Story_-_Google_Art_Project.jpg,N/A,"child, people, girl, family, son, baby, woman, portrait, seat, three, group, offspring, furniture, two, adolescence, play, adult, indoors, wear, man",brown wooden framed painting of woman,two children sitting on seat painting,"Painting, Child, Reading, Art, Portrait, Still life, Visual arts, Sitting, Mother","Human, Person, Art, Painting, Furniture, Wood, Couch, Reading, Sculpture, Clothing, Apparel, Blonde, Woman, Girl, Teen, Child, Kid, Female, Sitting","sleeping beauty, person, big sister, pieta (statue), church bench, bench, seat, furniture, people, indoors, clothing, alabaster color","a little girl lying on a bed, indoor, girl, person, child, little, window, sitting, bed, small, young, laying, book, lying, baby, high, woman, cat, holding, train, sleeping, man"
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co6/ago.31249.jp2/full/680,/0/default.jpg",N/A,"landscape, people, painting, one, no person, tree, mountain, water, travel, art, exploration, lake, two, recreation, calamity, snow, wood, transportation system, winter, vehicle",brown and black wooden frame,green tree,"Art, Painting, Visual arts, Illustration, Modern art, Watercolor paint, Tree, Rock, Drawing, Acrylic paint","Art, Painting, Canvas, Modern Art, Cushion, Pillow","oil paint, paint, Sailboard, boat, watercraft, craft, vehicle, beach, nature, Golden Gate Bridge, bridge, mechanism, shore, reddish brown color","a tree next to a body of water, water, mountain, tree, sitting, looking, body, view, river, covered, lake, large, bird, table, standing, bed, ocean"
https://i.pinimg.com/236x/8d/95/f5/8d95f507c7a73da5e201542749641882.jpg,N/A,"no person, desktop, retro, nature, vintage, texture, illustration, paper, wood, panoramic, art, pattern, grass, design, tree, old, wallpaper, outdoors, background, artistic",blue and green abstract painting,green mountain scenery,"Green, Grass, Leaf, Tree, Painting, Pattern, Plant, Rectangle, Art","Plant, Vegetation, Rug, Grass, Land, Outdoors, Nature, Bush, Tree, Green, Woodland, Forest","Forest, plant, cliff, nature, Lake (Natural), Rainforest, tree, olive green color, greenishness color","a close up of a green field, green, water, door, field, boat, standing, man"
https://artmatters.ca/wp/wp-content/uploads/2013/03/Cezanne-Train-Car.jpg,N/A,"abandoned, no person, decay, art, tunnel, light, architecture, old, creepy, wood, building, vintage, house, window, ghost, derelict, room, dark, broken, painting",black and brown wooden cabinet,moss train interior,"Tree, Room, Forest, Building, Art","Water, Room, Indoors, Waterfront, Dock, Pier, Port, Outdoors, Nature, Building","bunker, photo with bars, institution, building, vivarium (for plants), enclosure, partition, indoors, sea green color, olive green color","a glass door, indoor, building, window, green, old, door, sitting, room, small, area, view, open, dirty, public, bus, train, glass, bench, street, field, covered, white, dirt, rain"
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co6/22940.a50.jp2/full/680,/0/default.jpg",N/A,"art, sculpture, statue, religion, god, man, old, church, people, priest, portrait, sacred, spirituality, cross, culture, holy, classic, marble, ancient, worship",white ceramic woman holding sword figurine,Pope John Paul head bust,"Sculpture, Art, Classical sculpture, Forehead, Statue, Nonbuilding structure, Stone carving, Marble","Art, Statue, Sculpture, Person, Human, Ivory","socle, support, supporting structure, religion related, patriarch, person, man, Museum (Indoor), clothing, alabaster color","a statue of a person, sitting, standing, man, looking, white, holding, front, black, large, table, shirt, yellow, room, clock, phone"
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co6/659.jp2/full/680,/0/default.jpg",N/A,"painting, art, people, woman, Mary, religion, wear, two, man, aura, veil, baby, church, adult, gown (clothing), Renaissance, picture frame, window, book series, saint",man in black suit painting,religious painting,"Painting, Picture frame, Art, Visual arts, Still life, Artwork, Modern art, Tourist attraction","Person, Human, Art, Painting","art gallery, indoors, Museum (Indoor), olive green color","a group of people sitting in front of a door, room, sitting, cat, window, photo, small, door, front, woman, girl, box, standing, wooden, sign, man, holding, stuffed, store, walking, mirror, bench, train, display, bear, clock, white, people, street, group, graffiti"
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co8/26343.jp2/full/680,/0/default.jpg",N/A,"sculpture, veil, one, no person, people, metalwork, wear, mask, art, man, portrait, still life, face disguise, helmet, adult, armor, jewelry, ancient, handmade, mammal",brown and black leather cowboy boots,brown mask wall decor,"Sculpture, Headgear, Mask, Bronze, Artifact, Bronze sculpture, Metal, Art","Helmet, Apparel, Clothing, Mask, Art, Painting","mask, ""catchers mask"", face mask, protective covering, plate, food, headdress, reddish brown color","a close up of a piece of metal, sitting, piece, brown, table, metal, chocolate, old, pair, close, sticking, white, cake, laying"
https://lh6.ggpht.com/Ddj65ImYQqxwwiFXgc90ntLYKO2eTPGBBomzi3Csn-5LruQiMzGqgg_6U3Sp=s1200,N/A,"vase, flower, still life, container, pot, no person, candle, art, decoration, indoors, one, jug, flora, pottery, people, urn, leaf, flower arrangement, light, glass items",brown and white ceramic vase,flowers in vase painting,"Still life, Painting, Still life photography, Flower, Artwork, Coal, Photography, Plant, Vase, Visual arts","Painting, Art, Porcelain, Pottery, Jug","catacomb, alabaster color, olive green color","a vase of flowers sitting in a bowl, indoor, sitting, small, flower, table, bowl, vase, white, old, room, wooden"
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co6/578.jp2/full/680,/0/default.jpg",N/A,"illustration, art, woman, people, man, religion, painting, print, god, saint, Renaissance, adult, two, nymph, baroque, child, one, nude, allegory, spirituality",brown and green ceramic decorative plate,woman feeding man red fruit near trees,"Painting, Photography, Stock photography, Art, Tree, Tableware, Illustration, Fictional character, Plate","Painting, Art, Person, Human","pieta (statue), porthole, window, framework, supporting structure, masterpiece, oil paint, paint, altarpiece, screen, indoors, utensil, figure, olive green color, jade green color","person, sitting, photo, man, holding, woman, old, view, mirror, table, people, different, baby, phone, water, group, standing, plate, bear, vase"
https://lh5.ggpht.com/dOhVfDOdvDfOHjgex5i9R8qMrTH8haCtL2Px5hnZLzaMy7LpHLLM1OlICWKV,N/A,"architecture, building, university, modern, city, house, window, sky, museum, glass items, office, no person, urban, business, campus, outdoors, construction, tree, facade, brick",brown and blue concrete building,blue painted building,"Architecture, Building, House, Tree, Campus, Headquarters, Corporate headquarters, Grass, Facade, City","Office Building, Building, Urban, Town, City, Architecture, Billboard, Advertisement, Campus, Downtown, Art, High Rise, Asphalt, Tarmac","college, chancellery, government building, building, headquarters, office, university, clock tower, tower, steel blue color, blue color","a large brick building with grass in front of a house with Art Gallery of Ontario in the background, grass, building, outdoor, house, front, brick, street, sign, large, green, church, old, park, city, field, stop, red, man, graffiti, tower, parked, tall, standing, traffic, clock"
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co6/2474.jp2/full/680,/0/default.jpg",N/A,"art, religion, painting, church, illustration, god, artistic, saint, no person, old, spirituality, holy, color, coloring, architecture, symbol, sculpture, fantasy, chapel, visuals",green and brown abstract painting,white church painting,"Painting, Art, Visual arts, Modern art, Watercolor paint, Still life, Plant, Illustration, Artwork","Painting, Art, Modern Art","pothos, vine, plant, oil paint, paint, golden pothos, building, bottle green color","a painting of a green building, green, building, colorful, table, sitting, small, train, old, painting, covered, street, painted, bench, bird, parked, room, track, umbrella, water, standing, white, man, window, clock, riding"
https://lh3.ggpht.com/DEFjmgiUOtZ6x2D08hShQFYHNh2SVX7CpyHSagfFi4JMmK0LP_3sHIWWO5ghUw=s1200,N/A,"room, art, painting, indoors, furniture, no person, house, window, old, retro, architecture, mirror, vintage, building, abandoned, antique, seat, interior design, lamp, family",brown wooden framed wall mirror,brown wooden table,"Painting, Room, Visual arts, Still life, Art, Plaster, Furniture, Paint","Furniture, Painting, Art, Wood, Plywood, Cradle","burial chamber, enclosure, basement, support, supporting structure, Art Studio, indoors, storeroom, building, pale yellow color, alabaster color","a room filled with luggage, indoor, building, sitting, room, old, table, luggage, small, filled, yellow, suitcase, bed, white, living, bedroom, covered, street"
https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Anonymous_German%2C_16th_century_-_Large_Head_of_a_Jester_-_Google_Art_Project.jpg/801px-Anonymous_German%2C_16th_century_-_Large_Head_of_a_Jester_-_Google_Art_Project.jpg,N/A,"portrait, art, illustration, people, man, vintage, painting, old, print, visuals, one, face, adult, leader, paper, engraving, antique, sepia pigment, artistic, retro",gray and black tiger print jacket,man wearing jester costume painting,"Head, Illustration, Forehead, Self-portrait, Art, Drawing, Portrait, Facial hair, Painting, Sketch","Painting, Art, Pottery, Glass, Goblet, Cup, Coffee Cup, Bread, Food, Furniture","recess, enclosure, Museum (Indoor), bell jar, protective covering, vault, indoors, Science Museum, LP, memory device, musical instrument, recording, light brown color","sitting, banana, front, table, small, old, filled, food, plate, fruit, man, woman, cat, bowl, white, holding, red, cup"
"https://d1qs43ndkrnxwa.cloudfront.net/loris/co8/ago.2765.jp2/full/680,/0/default.jpg",N/A,"art, nude, sculpture, no person, woman, statue, figure, one, artistic, Renaissance, sky, man, marble, classic, ancient, bronze, baroque, old, travel, antique",man in black suit figurine,cross decor,"Religious item, Sculpture, Crucifix, Statue, Cross, Bronze sculpture, Symbol, Art, Classical sculpture, Artifact","Art, Painting, Human, Person, Drawing, Face, Text, Photo, Portrait, Photography, Skin, Sketch","person, Museum (Indoor), art gallery, indoors, Art Studio, black color, alabaster color","a close up of a person holding a book, text, book, photo, man"
https://lh6.ggpht.com/Bk1EPPqE6QRV9nDlGKP-QQiXgS5RYp1QapuqPKDs0-PfpkaJ_AU2CbU4ckOf=s1200,N/A,"art, people, painting, nude, Renaissance, adult, man, one, saint, woman, baroque, portrait, sculpture, religion, veil, shirtless, son, two, facial hair, wear",offensive,religious angel painting,"Painting, Angel, Mythology, Lady, Cupid, Supernatural creature, Art, Fictional character, Cg artwork, Visual arts","Cross, Symbol, Crucifix, Art, Sculpture, Statue","Museum (Indoor), crucifix, atlas, support, art gallery, indoors, sport, alabaster color","a person standing in a dark room, indoor, standing, front, black, legs, television, dark, man, cat, living, holding, room, table, woman, jumping, white, playing"
https://lh4.ggpht.com/jzDWeGCu74t3lSifHRpd8HTffnx6n84kDAsmupYf60dQKqeQlQGEkCEw4PZiwww,N/A,"sculpture, no person, ancient, art, one, man, veil, mask, people, face, old, museum, travel, religion, traditional, portrait, statue, antique, skull, artistic",brown and gray ceramic figurine,brown head bust décor,"Face, Head, Forehead, Sculpture, Anthropology, Jaw, Chin, Art, Mouth, Carving","Art, Painting, Person, Human, Angel, Archangel","person, painting, art gallery, indoors, Museum (Indoor), oil paint, paint, alabaster color, Indian red color","a group of people posing for the camera, person, indoor, man, dog, brown, holding, sitting, small, woman, standing, young, white, black, laying, people, large, group, playing"
http://www.ago.net/assets/images/554/massacre2016.jpg,N/A,"art, baroque, Renaissance, saint, painting, people, religion, nude, group, illustration, cavalry, god, Mary, baby, reclining, sculpture, man, book, mourn, pain",offensive,people fighting painting,"Painting, Art, Mythology, Tapestry, Visual arts, Textile, Prophet, Middle ages, History, Stock photography","Head, Sculpture, Art, Statue, Figurine, Archaeology","canopic jar, jar, Pharaoh, person, alabaster color","a statue of a person, indoor, statue, table, sitting, piece, cake, brown, face, mug, large, pair, black, old, cut, holding, man, white, standing"
http://www.ago.net/assets/images/556/16-Nov-08.jpg,N/A,"people, cavalry, group, winter, snow, man, many, seated, recreation, adult, house, woman, no person, outdoors, child, mammal, group together, travel, barn, tent",group of people near building painting,brown wooden houses,"Winter, Painting, Snow, Christmas eve, Sled dog, Christmas","Art, Painting, Person, Human","pieta (statue), memorial, tapestry, fabric, altarpiece, screen, indoors, masterpiece, alabaster color","a group of stuffed animals on display, indoor, building, dog, bunch, different, group, room, man, many, pile, table, filled, covered, display, large, laying, lot, bed, white, standing, stuffed, people, zebra, bedroom"
http://www.ago.net/assets/images/556/103733_LR.jpg,N/A,"painting, people, art, child, man, illustration, adult, woman, wear, street, group, recreation, travel, vintage, print, two, old, religion, city, transportation system",brown wooden framed painting of man riding horse,people near building painting,"Painting, Modern art, Art, Visual arts, Picture frame, Artwork, Still life","Painting, Art, Building, Housing, Person, Human, House, Cottage, Nature, Outdoors, Transportation, Vehicle, Villa, Mansion","ski lodge, hotel, building, ski resort, Hotel Building, chestnut color, azure color","a group of people riding on the back of a horse drawn carriage, outdoor, building, snow, horse, cow, street, people, group, walking, drawn, carriage, covered, brown, riding, cattle, sheep, herd, man, old, standing, large, dog, field, city"
